StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_3,Amount_lost,Number_of_reports
2025-11-01,Outside of Australia,Online,55 - 64,Female,Buying and selling scams,$0.00,1
2025-02-01,Outside of Australia,Online,45 - 54,Female,Buying and selling scams,$10082.25,4
2025-01-01,Outside of Australia,Online,35 - 44,Female,Buying and selling scams,$9294.53,7
2025-08-01,Outside of Australia,Online,35 - 44,Female,Buying and selling scams,$160.54,3
2025-08-01,Outside of Australia,Online,25 - 34,Female,Buying and selling scams,$0.00,3
2025-09-01,Outside of Australia,Online,18 - 24,Female,Buying and selling scams,$73.78,3
2025-06-01,Outside of Australia,Online,35 - 44,Female,Buying and selling scams,$2.00,4
2025-11-01,Outside of Australia,Online,25 - 34,Female,Buying and selling scams,$470.50,5
2025-01-01,Outside of Australia,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-03-01,Outside of Australia,Online,35 - 44,Female,Buying and selling scams,$394.00,2
2025-01-01,Outside of Australia,Online,45 - 54,Female,Buying and selling scams,$321.82,3
2025-10-01,Outside of Australia,Online,25 - 34,Female,Buying and selling scams,$164.36,4
2025-04-01,Outside of Australia,Online,18 - 24,Female,Buying and selling scams,$3198.96,4
2025-07-01,Outside of Australia,Online,55 - 64,Female,Buying and selling scams,$101.00,3
2025-09-01,Outside of Australia,Online,25 - 34,Female,Buying and selling scams,$987.87,7
2025-06-01,Outside of Australia,Online,65 and over,Female,Buying and selling scams,$27.49,2
2025-02-01,Outside of Australia,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-10-01,Outside of Australia,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-10-01,Outside of Australia,Online,18 - 24,Female,Buying and selling scams,$546.78,3
2025-04-01,Outside of Australia,Online,45 - 54,Female,Buying and selling scams,$0.00,1
2025-02-01,Outside of Australia,Online,18 - 24,Female,Buying and selling scams,$95.00,3
2025-06-01,Outside of Australia,Online,25 - 34,Female,Buying and selling scams,$79.99,3
2025-02-01,Outside of Australia,Online,25 - 34,Female,Buying and selling scams,$6688.26,5
2025-11-01,Outside of Australia,Online,35 - 44,Female,Buying and selling scams,$239.00,4
2025-01-01,Outside of Australia,Online,25 - 34,Female,Buying and selling scams,$3987.56,4
2025-02-01,Outside of Australia,Online,35 - 44,Female,Buying and selling scams,$0.00,3
2025-03-01,Outside of Australia,Online,45 - 54,Female,Buying and selling scams,$1342.00,3
2025-04-01,Outside of Australia,Online,25 - 34,Female,Buying and selling scams,$292.97,5
2025-05-01,Outside of Australia,Online,55 - 64,Male,Buying and selling scams,$248.00,4
2025-08-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$166830.20,9
2025-01-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$5638.93,5
2025-08-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$1384.02,5
2025-03-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$5134.00,6
2025-11-01,Outside of Australia,Online,65 and over,Male,Buying and selling scams,$31.97,3
2025-05-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$123.51,6
2025-10-01,Outside of Australia,Online,55 - 64,Male,Buying and selling scams,$0.00,4
2025-04-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$155.49,3
2025-08-01,Outside of Australia,Online,55 - 64,Male,Buying and selling scams,$0.00,1
2025-05-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$125.50,7
2025-02-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$6210.00,5
2025-11-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$6264.63,8
2025-05-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$1800.00,4
2025-07-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$0.00,3
2025-11-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$887.00,7
2025-06-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$0.00,2
2025-05-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$9412.58,7
2025-08-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$90.78,6
2025-03-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$2167.36,7
2025-04-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$99.00,5
2025-08-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$16875.39,11
2025-02-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$6858.00,5
2025-06-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$855.00,6
2025-07-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$966.03,9
2025-11-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$275.59,5
2025-07-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$372.00,6
2025-03-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$102879.41,10
2025-09-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$17110.00,5
2025-01-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$685.19,7
2025-11-01,Outside of Australia,Online,55 - 64,Male,Buying and selling scams,$148.08,3
2025-03-01,Outside of Australia,Online,55 - 64,Male,Buying and selling scams,$425.88,2
2025-04-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$6447.70,5
2025-07-01,Outside of Australia,Online,65 and over,Male,Buying and selling scams,$0.00,1
2025-06-01,Outside of Australia,Online,65 and over,Male,Buying and selling scams,$0.00,1
2025-06-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$42.07,7
2025-09-01,Outside of Australia,Online,Under 18,Male,Buying and selling scams,$0.00,2
2025-10-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$229.72,4
2025-09-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$806.13,6
2025-10-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$500.00,6
2025-01-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$295.37,2
2025-06-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$1729.23,7
2025-02-01,Outside of Australia,Online,25 - 34,Male,Buying and selling scams,$13419.09,7
2025-06-01,Outside of Australia,Online,55 - 64,Male,Buying and selling scams,$60.00,3
2025-11-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$2619.00,5
2025-04-01,Outside of Australia,Online,Under 18,Male,Buying and selling scams,$0.00,1
2025-01-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$1015.00,4
2025-01-01,Outside of Australia,Online,Under 18,Male,Buying and selling scams,$0.00,1
2025-10-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$112.00,2
2025-03-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$869.56,4
2025-04-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$0.00,1
2025-09-01,Outside of Australia,Online,35 - 44,Male,Buying and selling scams,$2421.25,3
2025-09-01,Outside of Australia,Online,18 - 24,Male,Buying and selling scams,$500.63,5
2025-01-01,Outside of Australia,Online,55 - 64,Male,Buying and selling scams,$0.00,1
2025-06-01,Outside of Australia,Online,Under 18,Male,Buying and selling scams,$21.72,2
2025-01-01,Outside of Australia,Online,65 and over,Male,Buying and selling scams,$70.00,3
2025-02-01,Outside of Australia,Online,45 - 54,Male,Buying and selling scams,$241.24,3
2025-02-01,Outside of Australia,Online,55 - 64,Male,Buying and selling scams,$0.00,1
2025-09-01,Australian Capital Territory,Online,35 - 44,Male,Buying and selling scams,$2647.98,4
2025-08-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$506.00,3
2025-02-01,Australian Capital Territory,Online,55 - 64,Male,Buying and selling scams,$110.26,2
2025-11-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$1859.80,4
2025-09-01,Australian Capital Territory,Online,18 - 24,Male,Buying and selling scams,$0.00,1
2025-11-01,Australian Capital Territory,Online,25 - 34,Male,Buying and selling scams,$0.00,1
2025-08-01,Australian Capital Territory,Online,35 - 44,Male,Buying and selling scams,$4928.00,10
2025-07-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$471.37,5
2025-03-01,Australian Capital Territory,Online,65 and over,Male,Buying and selling scams,$0.00,2
2025-03-01,Australian Capital Territory,Online,55 - 64,Male,Buying and selling scams,$0.00,1
2025-10-01,Australian Capital Territory,Online,18 - 24,Male,Buying and selling scams,$220.00,3
2025-01-01,Australian Capital Territory,Online,55 - 64,Male,Buying and selling scams,$1000.00,4
2025-07-01,Australian Capital Territory,Online,25 - 34,Male,Buying and selling scams,$1469.16,4
2025-05-01,Australian Capital Territory,Online,55 - 64,Male,Buying and selling scams,$719.00,2
2025-01-01,Australian Capital Territory,Online,25 - 34,Male,Buying and selling scams,$0.00,1
2025-03-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$0.00,2
2025-01-01,Australian Capital Territory,Online,65 and over,Male,Buying and selling scams,$299.00,3
2025-10-01,Australian Capital Territory,Online,35 - 44,Male,Buying and selling scams,$173.35,4
2025-04-01,Australian Capital Territory,Online,65 and over,Male,Buying and selling scams,$259.00,2
2025-07-01,Australian Capital Territory,Online,Under 18,Male,Buying and selling scams,$0.00,1
2025-02-01,Australian Capital Territory,Online,25 - 34,Male,Buying and selling scams,$99.99,2
2025-06-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$144.15,3
2025-10-01,Australian Capital Territory,Online,65 and over,Male,Buying and selling scams,$300.00,2
2025-10-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$55.00,4
2025-07-01,Australian Capital Territory,Online,35 - 44,Male,Buying and selling scams,$2240.00,5
2025-02-01,Australian Capital Territory,Online,35 - 44,Male,Buying and selling scams,$310.79,4
2025-01-01,Australian Capital Territory,Online,35 - 44,Male,Buying and selling scams,$100.00,2
2025-08-01,Australian Capital Territory,Online,25 - 34,Male,Buying and selling scams,$1237.06,5
2025-06-01,Australian Capital Territory,Online,25 - 34,Male,Buying and selling scams,$950.00,3
2025-01-01,Australian Capital Territory,Online,18 - 24,Male,Buying and selling scams,$956.36,4
2025-04-01,Australian Capital Territory,Online,35 - 44,Male,Buying and selling scams,$1300.00,3
2025-09-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$488.00,3
2025-05-01,Australian Capital Territory,Online,25 - 34,Male,Buying and selling scams,$1773.14,5
2025-01-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$350.00,2
2025-03-01,Australian Capital Territory,Online,18 - 24,Male,Buying and selling scams,$0.00,1
2025-02-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$13100.00,2
2025-03-01,Australian Capital Territory,Online,25 - 34,Male,Buying and selling scams,$508.87,3
2025-11-01,Australian Capital Territory,Online,18 - 24,Male,Buying and selling scams,$0.00,1
2025-07-01,Australian Capital Territory,Online,18 - 24,Male,Buying and selling scams,$0.00,1
2025-04-01,Australian Capital Territory,Online,18 - 24,Male,Buying and selling scams,$1610.00,4
2025-10-01,Australian Capital Territory,Online,25 - 34,Male,Buying and selling scams,$300.00,2
2025-05-01,Australian Capital Territory,Online,45 - 54,Male,Buying and selling scams,$4535.00,5
2025-03-01,Australian Capital Territory,Online,18 - 24,Female,Buying and selling scams,$0.00,1
2025-10-01,Australian Capital Territory,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-02-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$0.00,2
2025-06-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$0.00,2
2025-08-01,Australian Capital Territory,Online,35 - 44,Female,Buying and selling scams,$481.87,4
2025-04-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$1809.65,4
2025-08-01,Australian Capital Territory,Online,55 - 64,Female,Buying and selling scams,$477.00,2
2025-10-01,Australian Capital Territory,Online,35 - 44,Female,Buying and selling scams,$2078.28,4
2025-03-01,Australian Capital Territory,Online,35 - 44,Female,Buying and selling scams,$174.00,4
2025-10-01,Australian Capital Territory,Online,45 - 54,Female,Buying and selling scams,$8910.53,7
2025-02-01,Australian Capital Territory,Online,35 - 44,Female,Buying and selling scams,$9688.53,4
2025-08-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$260.60,3
2025-03-01,Australian Capital Territory,Online,45 - 54,Female,Buying and selling scams,$7306.64,5
2025-07-01,Australian Capital Territory,Online,18 - 24,Female,Buying and selling scams,$178.52,2
2025-09-01,Australian Capital Territory,Online,35 - 44,Female,Buying and selling scams,$2349.96,8
2025-06-01,Australian Capital Territory,Online,35 - 44,Female,Buying and selling scams,$825.76,8
2025-10-01,Australian Capital Territory,Online,55 - 64,Female,Buying and selling scams,$0.00,3
2025-01-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$1128.00,6
2025-05-01,Australian Capital Territory,Online,Under 18,Female,Buying and selling scams,$0.00,1
2025-05-01,Australian Capital Territory,Online,65 and over,Female,Buying and selling scams,$0.00,3
2025-08-01,Australian Capital Territory,Online,45 - 54,Female,Buying and selling scams,$229.00,3
2025-11-01,Australian Capital Territory,Online,18 - 24,Female,Buying and selling scams,$534.65,3
2025-11-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$50.00,4
2025-05-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$1668.00,4
2025-11-01,Australian Capital Territory,Online,55 - 64,Female,Buying and selling scams,$0.00,1
2025-09-01,Australian Capital Territory,Online,45 - 54,Female,Buying and selling scams,$859.46,5
2025-01-01,Australian Capital Territory,Online,55 - 64,Female,Buying and selling scams,$100.00,2
2025-06-01,Australian Capital Territory,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-07-01,Australian Capital Territory,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-10-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$100.00,4
2025-03-01,Australian Capital Territory,Online,55 - 64,Female,Buying and selling scams,$430.75,4
2025-07-01,Australian Capital Territory,Online,45 - 54,Female,Buying and selling scams,$619.95,4
2025-09-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$189.13,4
2025-04-01,Australian Capital Territory,Online,45 - 54,Female,Buying and selling scams,$0.00,1
2025-01-01,Australian Capital Territory,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-03-01,Australian Capital Territory,Online,65 and over,Female,Buying and selling scams,$262.29,3
2025-05-01,Australian Capital Territory,Online,35 - 44,Female,Buying and selling scams,$575.63,3
2025-03-01,Australian Capital Territory,Online,25 - 34,Female,Buying and selling scams,$4910.92,5
2025-04-01,Australian Capital Territory,Online,35 - 44,Female,Buying and selling scams,$59.95,2
2025-01-01,Australian Capital Territory,Online,45 - 54,Female,Buying and selling scams,$71.95,2
2025-07-01,Australian Capital Territory,Online,25 - 34,X (Indeterminate/Intersex/Unspecified),Buying and selling scams,$0.00,1
2025-01-01,Tasmania,Online,55 - 64,Female,Buying and selling scams,$297.05,4
2025-08-01,Tasmania,Online,65 and over,Female,Buying and selling scams,$214.60,5
2025-02-01,Tasmania,Online,65 and over,Female,Buying and selling scams,$400.00,5
2025-09-01,Tasmania,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-08-01,Tasmania,Online,55 - 64,Female,Buying and selling scams,$460.78,6
2025-10-01,Tasmania,Online,65 and over,Female,Buying and selling scams,$0.00,3
2025-01-01,Tasmania,Online,45 - 54,Female,Buying and selling scams,$102.00,3
2025-08-01,Tasmania,Online,25 - 34,Female,Buying and selling scams,$17000.00,2
2025-04-01,Tasmania,Online,55 - 64,Female,Buying and selling scams,$0.00,1
2025-11-01,Tasmania,Online,55 - 64,Female,Buying and selling scams,$0.00,1
2025-02-01,Tasmania,Online,55 - 64,Female,Buying and selling scams,$0.00,3
2025-02-01,Tasmania,Online,45 - 54,Female,Buying and selling scams,$75.00,4
2025-09-01,Tasmania,Online,55 - 64,Female,Buying and selling scams,$1024.84,5
2025-04-01,Tasmania,Online,45 - 54,Female,Buying and selling scams,$180.08,3
2025-01-01,Tasmania,Online,18 - 24,Female,Buying and selling scams,$850.00,2
2025-05-01,Tasmania,Online,45 - 54,Female,Buying and selling scams,$7850.00,2
2025-05-01,Tasmania,Online,18 - 24,Female,Buying and selling scams,$0.00,2
2025-04-01,Tasmania,Online,35 - 44,Female,Buying and selling scams,$189.95,3
2025-10-01,Tasmania,Online,25 - 34,Female,Buying and selling scams,$0.00,2
2025-08-01,Tasmania,Online,45 - 54,Female,Buying and selling scams,$0.00,3
2025-05-01,Tasmania,Online,55 - 64,Female,Buying and selling scams,$205.00,2
2025-03-01,Tasmania,Online,55 - 64,Female,Buying and selling scams,$0.00,2
2025-03-01,Tasmania,Online,45 - 54,Female,Buying and selling scams,$200.00,2
2025-09-01,Tasmania,Online,45 - 54,Female,Buying and selling scams,$193.11,4
2025-09-01,Tasmania,Online,35 - 44,Female,Buying and selling scams,$371.52,5
2025-10-01,Tasmania,Online,35 - 44,Female,Buying and selling scams,$676.53,4
2025-10-01,Tasmania,Online,45 - 54,Female,Buying and selling scams,$1324.00,5
2025-08-01,Tasmania,Online,35 - 44,Female,Buying and selling scams,$43.80,2
2025-06-01,Tasmania,Online,55 - 64,Female,Buying and selling scams,$3863.00,5
2025-11-01,Tasmania,Online,35 - 44,Female,Buying and selling scams,$95.00,2
2025-07-01,Tasmania,Online,35 - 44,Female,Buying and selling scams,$461.18,6
2025-03-01,Tasmania,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-09-01,Tasmania,Online,55 - 64,Male,Buying and selling scams,$250.00,4
2025-01-01,Tasmania,Online,55 - 64,Male,Buying and selling scams,$5562.23,5
2025-11-01,Tasmania,Online,35 - 44,Male,Buying and selling scams,$0.00,3
2025-06-01,Tasmania,Online,65 and over,Male,Buying and selling scams,$9850.00,3
2025-07-01,Tasmania,Online,55 - 64,Male,Buying and selling scams,$4265.00,2
2025-11-01,Tasmania,Online,45 - 54,Male,Buying and selling scams,$0.00,1
2025-02-01,Tasmania,Online,45 - 54,Male,Buying and selling scams,$0.00,2
2025-03-01,Tasmania,Online,45 - 54,Male,Buying and selling scams,$1000.00,3
2025-02-01,Tasmania,Online,55 - 64,Male,Buying and selling scams,$2500.00,3
2025-10-01,Tasmania,Online,18 - 24,Male,Buying and selling scams,$0.00,1
2025-10-01,Tasmania,Online,25 - 34,Male,Buying and selling scams,$0.00,2
2025-01-01,Tasmania,Online,65 and over,Male,Buying and selling scams,$1242.18,6
2025-10-01,Tasmania,Online,55 - 64,Male,Buying and selling scams,$702.93,3
2025-03-01,Tasmania,Online,25 - 34,Male,Buying and selling scams,$0.00,1
2025-09-01,Tasmania,Online,45 - 54,Male,Buying and selling scams,$0.00,1
2025-03-01,Tasmania,Online,55 - 64,Male,Buying and selling scams,$323.06,3
2025-06-01,Tasmania,Online,45 - 54,Male,Buying and selling scams,$335.90,2
2025-09-01,Tasmania,Online,65 and over,Male,Buying and selling scams,$1039.00,4
2025-07-01,Tasmania,Online,45 - 54,Male,Buying and selling scams,$29.95,2
2025-07-01,Tasmania,Online,35 - 44,Male,Buying and selling scams,$163.37,2
2025-04-01,Tasmania,Online,35 - 44,Male,Buying and selling scams,$2877.61,6
2025-02-01,Tasmania,Online,65 and over,Male,Buying and selling scams,$0.00,2
2025-08-01,Tasmania,Online,25 - 34,Male,Buying and selling scams,$150.00,3
2025-09-01,Tasmania,Online,25 - 34,Male,Buying and selling scams,$1953.00,6
2025-06-01,Tasmania,Online,18 - 24,Male,Buying and selling scams,$0.00,1
2025-02-01,Tasmania,Online,25 - 34,Male,Buying and selling scams,$25.88,3
2025-04-01,Tasmania,Online,45 - 54,Male,Buying and selling scams,$500.00,2
2025-11-01,Tasmania,Online,55 - 64,Male,Buying and selling scams,$0.00,2
2025-01-01,Tasmania,Online,18 - 24,Male,Buying and selling scams,$0.00,1
2025-10-01,Tasmania,Online,45 - 54,Male,Buying and selling scams,$0.00,2
2025-07-01,Tasmania,Online,25 - 34,Male,Buying and selling scams,$0.00,1
2025-01-01,Tasmania,Online,45 - 54,Male,Buying and selling scams,$0.00,1
2025-09-01,Tasmania,Online,35 - 44,Male,Buying and selling scams,$27994.02,7
2025-03-01,Tasmania,Online,35 - 44,Male,Buying and selling scams,$0.00,1
2025-10-01,Tasmania,Online,65 and over,Male,Buying and selling scams,$0.00,1
2025-11-01,Tasmania,Online,18 - 24,Male,Buying and selling scams,$0.00,1
2025-11-01,Tasmania,Online,65 and over,Male,Buying and selling scams,$629.75,3
2025-06-01,Tasmania,Online,Under 18,Male,Buying and selling scams,$0.00,1
2025-05-01,Tasmania,Online,55 - 64,Male,Buying and selling scams,$98.91,2
2025-02-01,Tasmania,Online,Under 18,Male,Buying and selling scams,$0.00,1
2025-06-01,Tasmania,Online,25 - 34,Male,Buying and selling scams,$0.00,1
2025-11-01,Northern Territory,Online,25 - 34,Female,Buying and selling scams,$0.00,2
2025-11-01,Northern Territory,Online,35 - 44,Male,Buying and selling scams,$150.00,3
2025-11-01,Northern Territory,Online,55 - 64,Female,Buying and selling scams,$0.00,2
2025-08-01,Northern Territory,Online,35 - 44,Female,Buying and selling scams,$0.00,2
2025-08-01,Northern Territory,Online,55 - 64,Female,Buying and selling scams,$0.00,1
2025-09-01,Northern Territory,Online,65 and over,Female,Buying and selling scams,$31.57,4
2025-02-01,Northern Territory,Online,45 - 54,Female,Buying and selling scams,$0.00,1
2025-09-01,Northern Territory,Online,18 - 24,Male,Buying and selling scams,$300.00,2
2025-10-01,Northern Territory,Online,25 - 34,Male,Buying and selling scams,$0.00,1
2025-09-01,Northern Territory,Online,25 - 34,Male,Buying and selling scams,$0.00,5
2025-03-01,Northern Territory,Online,65 and over,Male,Buying and selling scams,$0.00,1
2025-08-01,Northern Territory,Online,25 - 34,Female,Buying and selling scams,$293.27,2
2025-07-01,Northern Territory,Online,55 - 64,Male,Buying and selling scams,$0.00,1
2025-06-01,Northern Territory,Online,65 and over,Male,Buying and selling scams,$0.00,1
2025-06-01,Northern Territory,Online,65 and over,Female,Buying and selling scams,$0.00,1
2025-03-01,Northern Territory,Online,25 - 34,Male,Buying and selling scams,$60.00,2
2025-01-01,Northern Territory,Online,18 - 24,Female,Buying and selling scams,$0.00,1
2025-11-01,Northern Territory,Online,45 - 54,Male,Buying and selling scams,$0.00,2
2025-10-01,Northern Territory,Online,18 - 24,Female,Buying and selling scams,$0.00,1
2025-10-01,Northern Territory,Online,65 and over,Female,Buying and selling scams,$0.00,2
2025-06-01,Northern Territory,Online,55 - 64,Female,Buying and selling scams,$49.95,2
2025-07-01,Northern Territory,Online,55 - 64,Female,Buying and selling scams,$0.00,1
2025-02-01,Northern Territory,Online,25 - 34,Male,Buying and selling scams,$2100.00,2
2025-08-01,Northern Territory,Online,35 - 44,Male,Buying and selling scams,$0.00,1
2025-05-01,Northern Territory,Online,25 - 34,Male,Buying and selling scams,$1350.00,3
2025-07-01,Northern Territory,Online,35 - 44,Female,Buying and selling scams,$443.95,3
2025-08-01,Northern Territory,Online,65 and over,Female,Buying and selling scams,$0.00,2
2025-08-01,Northern Territory,Online,25 - 34,Male,Buying and selling scams,$7905.14,4
2025-07-01,Northern Territory,Online,35 - 44,Male,Buying and selling scams,$0.00,1
2025-09-01,Northern Territory,Online,18 - 24,Female,Buying and selling scams,$0.00,1
2025-01-01,Northern Territory,Online,25 - 34,Male,Buying and selling scams,$0.00,1
2025-01-01,Northern Territory,Online,55 - 64,Female,Buying and selling scams,$0.00,1
2025-03-01,Northern Territory,Online,25 - 34,Female,Buying and selling scams,$0.00,1
2025-04-01,Northern Territory,Online,25 - 34,Female,Buying and selling scams,$0.00,1
2025-08-01,Northern Territory,Online,18 - 24,Female,Buying and selling scams,$0.00,1
2025-04-01,Unspecified,Online,45 - 54,Male,Buying and selling scams,$0.00,1
2025-06-01,Northern Territory,Online,Unspecified,Female,Buying and selling scams,$0.00,1
2025-02-01,Northern Territory,Online,Unspecified,Male,Buying and selling scams,$43.00,2
2025-09-01,Northern Territory,Online,Unspecified,Male,Buying and selling scams,$0.00,3
2025-06-01,Tasmania,Online,Unspecified,Female,Buying and selling scams,$2000.00,4
2025-02-01,Tasmania,Online,Unspecified,Female,Buying and selling scams,$139.91,4
2025-01-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$231.76,6
2025-03-01,Northern Territory,Online,Unspecified,Male,Buying and selling scams,$0.00,2
2025-08-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$137.99,4
2025-04-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$0.00,3
2025-07-01,Tasmania,Online,Unspecified,Female,Buying and selling scams,$0.00,3
2025-03-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$160.00,4
2025-05-01,Northern Territory,Online,Unspecified,Female,Buying and selling scams,$500.00,3
2025-03-01,Northern Territory,Online,Unspecified,Female,Buying and selling scams,$50.00,2
2025-11-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$249.98,4
2025-10-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$464.00,4
2025-02-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$129.95,3
2025-06-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$170.00,4
2025-10-01,Tasmania,Online,Unspecified,Female,Buying and selling scams,$261.96,4
2025-08-01,Tasmania,Online,Unspecified,Female,Buying and selling scams,$670.99,4
2025-07-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$90.00,2
2025-07-01,Northern Territory,Online,Unspecified,X (Indeterminate/Intersex/Unspecified),Buying and selling scams,$0.00,2
2025-05-01,Tasmania,Online,Unspecified,Female,Buying and selling scams,$149.00,4
2025-07-01,Northern Territory,Online,Unspecified,Female,Buying and selling scams,$55.00,2
2025-04-01,Northern Territory,Online,Unspecified,Female,Buying and selling scams,$3419.00,2
2025-09-01,Tasmania,Online,Unspecified,X (Indeterminate/Intersex/Unspecified),Buying and selling scams,$0.00,2
2025-05-01,Tasmania,Online,Unspecified,Male,Buying and selling scams,$650.00,3
2025-10-01,Northern Territory,Online,Unspecified,Male,Buying and selling scams,$0.00,1
2025-10-01,Northern Territory,Online,Unspecified,Female,Buying and selling scams,$0.00,2
2025-03-01,Australian Capital Territory,Online,Unspecified,Male,Buying and selling scams,$0.00,4
2025-09-01,Australian Capital Territory,Online,Unspecified,Female,Buying and selling scams,$84.80,3
2025-09-01,Australian Capital Territory,Online,Unspecified,X (Indeterminate/Intersex/Unspecified),Buying and selling scams,$30000.00,2
2025-02-01,Australian Capital Territory,Online,Unspecified,Male,Buying and selling scams,$176.00,4
2025-03-01,Australian Capital Territory,Online,Unspecified,Female,Buying and selling scams,$617.25,3
2025-11-01,Australian Capital Territory,Online,Unspecified,X (Indeterminate/Intersex/Unspecified),Buying and selling scams,$0.00,1
2025-01-01,Australian Capital Territory,Online,Unspecified,Female,Buying and selling scams,$684.00,6
2025-11-01,Australian Capital Territory,Online,Unspecified,Female,Buying and selling scams,$383.37,6
2025-08-01,Australian Capital Territory,Online,Unspecified,Male,Buying and selling scams,$42245.44,12
2025-02-01,Australian Capital Territory,Online,Unspecified,Female,Buying and selling scams,$480.92,9
2025-04-01,Australian Capital Territory,Online,Unspecified,Male,Buying and selling scams,$500.00,3
2025-07-01,Australian Capital Territory,Online,Unspecified,Male,Buying and selling scams,$80.00,9
2025-09-01,Australian Capital Territory,Online,Unspecified,Male,Buying and selling scams,$1170.00,7
2025-11-01,Australian Capital Territory,Online,Unspecified,Male,Buying and selling scams,$155.00,5
2025-01-01,Australian Capital Territory,Online,Unspecified,Male,Buying and selling scams,$192.00,4
2025-05-01,Australian Capital Territory,Online,Unspecified,Male,Buying and selling scams,$5836.71,3
